key,Portuguese,English,Context / Notes
shop/say_9,Valeu! Vai ser útil com certeza.,Thanks! It'll sure come in handy.,
shop/say_10,"Eu tenho mais coisas que podem te ajudar, mas não posso dar mais do que isso de graça.","This one's on the house. I have other things that might help you, but you'll have to pay for those.",
shop/say_11,"Sabe como é, eu preciso de dinheiro pra comprar mais mangá.","You know how it is, I need money to buy more manga.",
shop/say_12,Tudo bem. Me mostra o que você tem aí pra vender.,That's okay. Show me what you can sell.,
shop/say_13,"Claro, esses são os itens que eu tenho pra venda.","Sure thing, these are all the items I have to sell.",
shop/say_14,"Oi Noelia! Consegui dois tipos de itens novos, e estão à venda!","Hi, Noelia! I just got two new item types and they're for sale!",
shop/say_15,Interessante. Quais sãos eles?,Interesting. What are they?,
shop/say_16,"Primeiro, tenho essas coisas aqui que os humanos usam pra acalmar a mente e o corpo. Humanos são bem frágeis, né?","First, I have these things that humans use to calm their minds and bodies. Humans are really fragile, huh?",
shop/say_17,Legal! Você tem alguma amostra grátis dessa vez?,Cool! Can I have some for free?,
shop/say_18,"Tenho sim, vou te dar um de cada pra você testar. Mas compra mais depois, por favor.","I'll give you a free sample of each. But come back to buy more later, please.",
shop/say_19,Valeu! E o outro tipo?,Thanks! And the other item type?,
shop/say_20,"Presentes! Eu fico muito feliz quando eu ganho alguma coisa, então talvez humanos funcionem da mesma forma.","Gifts! It makes me very happy when I'm given something, so maybe humans work the same way.",
shop/say_21,Leva uns presentinhos pro seu humano dar pras garotas. Aposto que elas vão se apaixonar rapidinho.,Take some gifts for your human to give to the girls. I bet they'll fall in love with him in no time.,
shop/say_22,"Certo, vou dar uma olhada.","Sure, I'll take a look.",
shop/say_23,"Ei, eu tenho novidades.","Hey, I have some news.",
shop/say_24,Oi! O que foi?,Hi! What's up?,
shop/say_25,A Supervisora Hardwell acabou descobrindo sobre a minha lojinha.,Supervisor Hardwell ended up finding out about my little shop.,
shop/say_26,Eita! E ela brigou com você?,Oh no! Was she mad at you?,
shop/say_27,"Brigou sim, ela falou que algo assim era contra as regras.","Yeah, she said that this sort of thing is strictly against the rules.",
shop/say_28,Mas depois ela disse que podia \qaproveitar a situação\q e me deu alguns itens angelicais pra te vender também.,But then she said that she could \qtake advantage of the situation\q and then gave me some angelic items to sell you too.,
shop/say_29,"Ótimo, podem ser úteis! E você tem alguma amostra grátis?","Hey, they might be useful! Do you have any free samples?",
shop/say_30,"Desculpa, eles não são meus. Estou apenas revendendo.","Sorry, but they're not my items. I'm just reselling them.",
shop/say_31,Mas são bem úteis. Quer ver o que eu tenho pra vender agora?,But they're quite useful. Do you want to see what I have for sale now?,
shop/say_32,Oi Noelia! Seja bem-vinda à minha lojinha de itens humanos!,"Hi, Noelia! Welcome to my little shop of human items!",
shop/say_33,Quer fazer mais algum negócio?,Do you want to do some more business?,
shop/choices_0_0,Comprar,Buy,
shop/choices_0_1,Vender,Sell,
shop/choices_0_2,Sair,Exit,
shop/say_34,Você quer comprar <color=#D73022>\vsn(item_name)</color> por <sprite=\qAttributes\q index=4><color=#D73022>\vsn(item_price)</color>?,Do you want to buy <color=#D73022>\vsn(item_name)</color> for <sprite=\qAttributes\q index=4><color=#D73022>\vsn(item_price)</color>?,
shop/say_35,"Me desculpe, parece que você não tem o suficiente para comprar este item.","Sorry, it looks like you don't have enough to buy this item.",
shop/say_36,Você não tem nenhum item para vender.,You don't have any items to sell.,
shop/say_37,Você quer vender <color=#D73022>\vsn(item_name)</color> por <sprite=\qAttributes\q index=4><color=#D73022>\vsn(item_price)</color>?,Do you want to sell <color=#D73022>\vsn(item_name)</color> for <sprite=\qAttributes\q index=4><color=#D73022>\vsn(item_price)</color>?,
shop/say_38,Muito obrigada! Isso vai ficar lindo na minha coleção.,Thank you very much! This will be a fine addition to my collection.,
shop/say_39,Obrigada e volte sempre! Boa sorte juntando os humanos!,Thank you and come again! Good luck with the whole matchmaking business!,
tutorials/say_0,Certos conflitos durante o jogo são resolvidos através de um <color=#D73022>combate</color>.,Certain conflicts throughout the game are resolved through <color=#D73022>battle</color>.,
tutorials/say_1,Os dois lados alternam turnos e podem realizar ataques.,The two sides alternate turns and can use attacks.,
tutorials/say_2,Esta barrinha representa os <color=#D73022>Pontos de Coração (ou <sprite=\qhpANDsp\q index=0 tint>PC)</color> dos humanos que você está acompanhando.,This bar represents the <color=#D73022>Heart Points (or <sprite=\qhpANDsp\q index=0 tint>HP)</color> of the human you're accompanying.,
tutorials/say_3,"Tome cuidado, pois caso eles cheguem a zero você perde o combate.","Be careful though, if it reaches zero, you lose the battle.",
tutorials/say_4,Esta barrinha representa os PC do seu oponente. Ataque-o para reduzí-los a zero e vencer o combate.,This bar represents the HP of your opponent. Attack them to reduce it to zero and win the battle.,
tutorials/say_5,"Durante o seu turno, você pode escolher entre: <color=#D73022>Ações</color>, <color=#D73022>Defender</color> ou <color=#D73022>Fugir</color>.","During your turn you can choose between <color=#D73022>Actions</color>, <color=#D73022>Defend</color>, or <color=#D73022>Flee</color>.",
tutorials/say_6,"Por favor, selecione <color=#D73022>Ações</color>.",Please select <color=#D73022>Actions</color>.,
tutorials/say_7,"Você sempre pode usar 3 tipos de ações contra o oponente.\nElas se baseiam em diferentes atributos:\n<sprite=\qAttributes\q index=0 tint>Valentia, <sprite=\qAttributes\q index=1 tint>Inteligência e <sprite=\qAttributes\q index=2 tint>Carisma.","There are always 3 types of actions when battling an opponent.\nThey are based on different attributes:\n<sprite=\qAttributes\q index=0 tint>Guts, <sprite=\qAttributes\q index=1 tint>Intelligence, and <sprite=\qAttributes\q index=2 tint>Charisma.",
tutorials/say_8,"Por favor selecione <sprite=\qAttributes\q index=0 tint>Atacar, em seguida clique no valentão.","Please select <sprite=\qAttributes\q index=0 tint>Attack, and then click on the bully.",
tutorials/say_9,Diferentes oponentes são mais fracos contra certos tipos de ataque. Portanto teste diferentes ações para descobrir quais são mais efetivas contra eles.,Different opponents are more vulnerable to certain types of actions. Try out different actions to find out which ones are the most effective against them.,
tutorials/say_10,Uma outra alternativa durante a batalha é Defender. Ela <color=#D73022>reduz o dano recebido</color> pela metade e <color=#D73022>recupera <sprite=\qhpANDsp\q index=1 tint>Pontos de Habilidade</color>.,You can also Defend. Defending <color=#D73022>reduces the damage received</color> by half and <color=#D73022>restores <sprite=\qhpANDsp\q index=1 tint>Skill Points</color>.,
tutorials/say_11,Ana atualmente não possui nenhuma habilidade utilizável. Elas serão desbloqueadas em um momento posterior.,Anna doesn't have any usable skills at the moment. They will be unlocked later.,
tutorials/say_12,\couple possuem habilidades ativas que podem usar durante a batalha.,\couple have active skills that can be used during the battle.,
tutorials/say_13,As habilidades ficam dentro da lista de <color=#D73022>Ações</color>.,The skills are shown in the <color=#D73022>Actions</color> list.,
tutorials/say_14,Note a habilidade de Daniel: <color=#D73022>Lanche Reforçado</color>. Ela cura Fome e aumenta a defesa de um aliado por 3 turnos.,Take a look at Daniel's skill: <color=#D73022>Fortifying Snack</color>. It heals Hungry status and increases an ally's defense for 3 turns.,
tutorials/say_15,"Cada casal possui diferentes habilidades, de acordo com a sua personalidade e sinergia.","Each couple has different skills, according to their personality and synergy.",
tutorials/say_16,Novas habilidades podem ser aprendidas conforme eles progridem no relacionamento.,New skills can be learned as the relationship progresses.,
tutorials/say_17,"Utilizar habilidades gasta <color=#D73022><sprite=\qhpANDsp\q index=1 tint>Pontos de Habilidade</color> (ou <sprite=\qhpANDsp\q index=1 tint>PH), que se enchem apenas no início de cada Encontro.","Using skills spends <color=#D73022><sprite=\qhpANDsp\q index=1 tint>Skill Points</color> (or <sprite=\qhpANDsp\q index=1 tint>SP), which are only restored at the start of each Date.",
tutorials/say_18,"No entanto, você pode sempre <color=#D73022>Defender</color>. Isso também recupera uma pequena quantidade de <sprite=\qhpANDsp\q index=1 tint>PH.","However, you can always <color=#D73022>Defend</color>. This also restores a small amount of <sprite=\qhpANDsp\q index=1 tint>SP.",
tutorials/say_19,"(Agora que o meu humano designado está em um combate, eu posso ajudá-lo.)","(Now that my designated human is in a battle, I can help him.)",
tutorials/say_20,"(No entanto, como eu não posso ser vista, as ações que eu posso tomar são diferentes.)","(However, I can't be seen. The actions I'm able to use are different.)",
tutorials/say_21,"(Eu posso usar diferentes <color=#D73022>Itens</color> para recuperar os <color=#D73022><sprite=\qhpANDsp\q index=0 tint>PC</color>, <color=#D73022><sprite=\qhpANDsp\q index=1 tint>PH</color> ou condições dos humanos.)","(I can use various <color=#D73022>Items</color> to restore <color=#D73022><sprite=\qhpANDsp\q index=0 tint>HP</color>, <color=#D73022><sprite=\qhpANDsp\q index=1 tint>SP</color>, or to remove negative status from humans.)",
tutorials/say_22,"(Se eu intereferisse mais que isso, eles poderiam me perceber e eu falharia na minha missão.)","(If I did interfere more than this, the humans could notice me and I'd fail my mission.)",
tutorials/say_23,"(A cada item utilizado, um dos <color=#D73022>Indicadores de Atenção</color> se abre).","(For each item I use, one of the <color=#D73022>Attention Indicators</color> will open.)",
tutorials/say_24,"(Quando todos se abrem, os humanos me percebem e eu preciso parar de agir por alguns turnos para que se esqueçam da minha presença.)","(When all of them are opened, humans will spot me and I'll have to stop acting for a few turns so that they forget I'm there.)",
tutorials/say_25,"(Portanto, preciso tomar cuidado com isso.)",(That means I need to pay attention to the Indicators.),
tutorials/say_26,"(Outra opção é que eu tenho é apenas <color=#D73022>Observar</color>, esperando o momento certo de agir.)","(Another option I have is to simply <color=#D73022>Observe</color>, waiting for the right moment to act.)",
tutorials/say_27,"(Observar não ajuda os humanos diretamente, mas poupa os itens para serem usados mais tarde.)","(Observing doesn't help the humans directly, but lets me save the items for later.)",
tutorials/say_28,Esta é a Tela de Atributos do seu casal. Aqui você pode acompanhar o progresso dele.,This is your couple's Attributes Screen. Here you can monitor their progress.,
tutorials/say_29,Aqui em cima você pode checar o nível de relacionamento do casal e quanta EXP falta para eles progredirem.,"At the top of the screen, you can check the couple's relationship level and how much EXP they need to progress.",
tutorials/say_30,Aqui mostra os <color=#D73022><sprite=\qhpANDsp\q index=0 tint>Pontos de Coração</color> deles.,Here you can see their <color=#D73022><sprite=\qhpANDsp\q index=0 tint>Heart Points</color>.,
tutorials/say_31,Clicando no botão abaixo você pode desbloquear novas habilidades para o casal.,"Clicking on the button below, you can unlock new skills for the couple.",
tutorials/say_32,"Por fim, temos também os atributos dos humanos individualmente.","And finally, we also have the individual human's attributes.",
tutorials/say_33,"<sprite=\qAttributes\q index=0  tint=1>Valentia, <sprite=\qAttributes\q index=1 tint=1>Inteligência e <sprite=\qAttributes\q index=2 tint=1>Carisma afetam o dano que o humano causa com ataques baseados nestes atributos.","<sprite=\qAttributes\q index=0 tint=1>Guts, <sprite=\qAttributes\q index=1 tint=1>Intelligence, and <sprite=\qAttributes\q index=2 tint=1>Charisma affect the damage dealt by the human with attacks based on these attributes.",
tutorials/say_34,"<sprite=\qAttributes\q index=3 tint=1>Resistência afeta a sua defesa. Quanto maior ela for, menos dano o humano recebe de ataques.","<sprite=\qAttributes\q index=3 tint=1>Endurance affects their defense. The higher it is, the less damage the human takes from attacks.",
tutorials/say_35,<sprite=\qhpANDsp\q index=1 tint>PH são os pontos consumidos para usar habilidades. Eles se recuperam no início de cada Encontro ou ao usar a ação Defender.,<sprite=\qhpANDsp\q index=1 tint>SP are the points consumed by using skills. They are restored at the start of each Date or by using the Defend action.,
tutorials/say_36,"Aqui embaixo são as habilidades do humano, tanto ativas quanto passivas. As ativas têm cor roxa, enquanto as passivas têm cor cinza ou vermelha.","Here below are the human's skills, both active and passive. The active ones are purple and the passive ones are grey or red.",
tutorials/say_37,Ponha o mouse sobre elas para obter uma breve descrição de cada.,Hover the mouse over them to see a brief description for each.,
tutorials/say_38,Esta é a Árvore de Habilidades deste casal. Aqui você pode desbloquear novas habilidades e visualizar as já liberadas.,This is this couple's Skill Tree. Here you can unlock new skills and see which ones have already been unlocked.,
tutorials/say_39,"Orbs brancas representam habilidades liberadas,\n<color=black>Orbs pretas</color> representam habilidades compráveis e\n<color=#EA7F84>Orbs vazias</color> representam habilidades bloqueadas.","White Orbs represent unlocked skills,\n<color=black>Black Orbs</color> represent skills that you can purchase and\n<color=#EA7F84>Empty Orbs</color> represent locked skills.",
tutorials/say_40,"Esta <color=#C63232>Orb vermelha</color> é uma habilidade de Desvantagem que cada humano possui, associada à sua personalidade.","This <color=#C63232>Red Orb</color> is a Disadvantage skill that each human has, and is associated to their personality.",
tutorials/say_41,Para tornar uma <color=#EA7F84>Orb vazia</color> comprável é necessário comprar sua habilidade pré-requisito.,"To transform an <color=#EA7F84>Empty Orb</color> into something you can purchase, you need to purchase the pre-requisite skill.",
tutorials/say_42,"As <color=black>Orbs pretas</color> são compradas usando Chaves de Coração, que você consegue ao subir o nível de relacionamento do casal.","You can purchase <color=black>Black Orbs</color> with Heart Keys, which you receive when you get to the next relationship level for the couple.",
tutorials/say_43,"A única excessão é esta habilidade aqui, que é desbloqueada de outra maneira. Jogue para descobrir.","The only exception is this skill here, which is unlocked by doing something else. Play the game to find out!",
tutorials/say_44,"Como cada relacionamento é individual e diferente, habilidades liberadas para um casal só servem para ele.","As each relationship is unique and different, unlocked skills for a couple only work with that couple.",
tutorials/say_45,"Ou seja: liberar uma habilidade para o Daniel na árvore da Ana, por exemplo, não a habilitará para uso quando ele estiver com a Clara.",For example: A skill that's unlocked for Daniel in Anna's tree is not available when he's with Claire.,
